source,target
,特末
,点
,敦
,敌烈
,领格
,迪烈
,迪辇
,定
,殿
,战
,词尾表从比格附加成分
,顿
,德颙
,定
,定
,度突里
,都特
,德括/和
,赠
,中
,词尾表副动词附加成分
,地方
,领格
,/城/州
,地方
,领格
,州
,夫人
,麽格
,美格
,领格
,么格
,迷己
,进/晋
,进
,领格
,酒
,秋
,子
,字
,（牌）子
,祖
,左
,祖
,祖
,领格
,静
,监/禁
,将
,节/姐/戒/结/谢
,济/祭/漆
,子/紫
,宗
,宗
,领格
,词尾表复数附加成分
,第三
,第三
,三
,留/六/柳
,崩
,崩
,坏颓
,崩
,坏颓
,六温/留引
,留宁
,留隐
,勒
,梁
,娄
,丽莉
,里库
,兰
,琳
,乱
,临
,娄
,洛
,老古宁
,老古隐
,禄
,龙
,卢
,腊/拉/剌
,兰
,剌韩
,剌罕
,兰
,腊
,廊/郎
,鲁
,林牙
,林牙
,领格
,林牙
,林牙
,卢不姑
,鲁不古
,卢不衮
,鲁不堇
,论
,来赠
,旨
,敕
,龙
,驴粪
,旅坟
,陵/令/领
,令
,领格
,陵
,向位格
,令稳
,梁
,呜
,呼
,哀
,哀
,练/连
,礼/醴/李/丽
,里只
,辽
,丙/丁
,丙/丁/赤/红
,丙/丁/赤/铜
,丙/丁/火
,略
,丙/丁
,丙/丁/赤/红
,丙/丁/赤/火
,辽
,猪/亥
,事
,卫/尉/位
,词尾表领格附加成分
,卫
,维
,隗衍
,事
,领格
,尉
,事
,向位格
,尉
,事
,卫
,维里
,隗因
,魏野
,维
,隗衍
,卫/尉
,词尾表领格附加成分
,尉
,蔚宁
,隗隐
,卫
,尉
,鞥
,银
,牛
,彦
,元
,元
,元
,吾/吴/五
,御/鱼
,吴八
,元
,元
,魏
,魏
,领格
,魏/维
,严
,御/翊
,五
,虞/于
,语
,向位格
,迎
,愿
,严/言
,仪/义/宜
,义
,尧
,尧（领）
,六十
,解里
,解里/谐领/谐里
,解里宁
,谐里
,解里宁/海邻/谐领
,治礼
,迤逦免
,夷离毕
,夷离堇
,因为
,饮
,未/羊
,未
,不勒
,勃鲁恩
,布隐
,词尾表领格附加成分
,时
,时
,破得/颇得
,时
,时
,时
,时
,时
,季节/尀光
,时
,领格
,可
,沁/信
,忻
,开
,哉
,也
,被说
,谓
,也
,称
,哉
,也
,也/哉/欤
,谓
,哉
,也
,呼
,欤
,谓
,开
,诰
,敕
,敕
,儿子
,姨/幼小
,妹妹
,疾
,右
,皇室
,戊/己
,戊/己/金
,戊/己/黄/金
,戊/己/土地/讷都
,女古
,戊/己/山/土/金/黄/女古/袅罗个
,戊/己/白/金
,金
,黄/金
,明
,上/升
,山/可汗/皇子
,汗
,父/皇帝
,黄/皇
,继承人/金
,继承人/储君
,寒食女
,霞懒安
,霞懒益
,续
,改任
,并/遂
,归入/分属
,词尾表过去时附加成分
,宿
,卫
,圣
,尊
,词尾表静词类附加成分
,词尾表向位格附加成分
,尊位/上/高
,瓦里
,永
,吴
,永
,词尾表形动词附加成分
,词尾表过去时附加成分
,词尾表领格附加成分
,词尾表复数附加成分
,恶
,甘（露）
,挞鲁里
,南
,胞
,同胞
,领格
,迭剌/迭剌哥
,同胞
,氏族
,迭剌
,领格
,宗室
,宗正
,归
,蒲挞里
,普达汉哩
,普达里
,浦打哩
,普达
,普达
,领格
,归
,归
,使归
,归
,回
,归
,返回
,归
,归
,返回
,拜
,归
,再次
,食
,品
,北衍
,北也
,彭
,房
,方/访/防
,访
,小
,孩子
,实封
,别胥
,别胥
,向位格
,别胥
,领格
,拔里
,比律
,拔里
,福蔚
,仆隗
,圯/倒塌
,落
,嗣
,都
,编撰
,蒲鲁本
,不鲁本
,不鲁本
,降生
,拔懒
,拔懒
,牌
,（印）牌司
,领格
,（印）牌司
,向位格
, 
,妻室
,女眷
,成/是
,成
,卜/仆/部
,即
, 
,臣
,部
,除
,为
,除
,为
,除
,为
,除
,为
,伪
,品
,阶
,品
,品
,频沐里
,成为
,门阀
, 
,后裔
,蒲古只
,部
,拜石
,朴如
,申
,除
,除
,成为
,除/成为
,除
,除
,除/成为
,立起
,拜
,除
, 
,未嫁
,拜
,除
,除/成为
,申/猴
,拜/除
,升
,除
,升
,除
,成为
,被立
,除
,成/是
,拜
,葩
,八
,判
,磐
,拿/控制/建立
,建
,拿/控制/建立
,建造/建筑物/报答/酬金
,建造/建筑物/报答/酬金
,建造/建筑物/报答/酬金
,拿/控制/建立
,颁/赐
,颁/赐
,拜
,邑
,牌
,帛
,功
,多余的
,麓/隈
,柩
,蒲古只
,仆隗
,奋兀
,蒲古
,本乌尼
,平
,兵
,芳
,宾
,妃/碑
,妃/碑
,领格
,品
,妃
,丕里
,匹里
,判/防/奉
,匹
,奉/冯/访/雱/琫/房
,秉节
,锋
,领格
,闰
,布鲁宁
,浦鲁宁
,先
,先
,部
,除任
,安泰/拓展
,古昱/兀欲
, 
,臣
,奴才
,臣
,领格
,仆
,攒/菆
,七十
,七十
,领格
,七十
,马/大牲畜
,夷离毕
,麻都不
,夷离毕
,领格
,立本
,夷离毕
,夷离毕
,翁/耆老
,应
,英
,词尾表向位格附加成分
,堂
,把
,谓
,撰
,具
,具
,撰
,撰
,撰
,撰
,制定
,撰
,制定
,命名
,撰
,撰
,撰
,撰
,制作
,国
,护
,宫
,兀欲
,爵位
,兀里本
,讹里不
,流传
,讹里本
,兀勒本
,固勒本
,皇统
,统
,扬威
,连接/连续
,皇族
,讹里本
,兀里本
,固勒本
,郭里本
,皇统
,统
,宾格
,流传
,豳/宾
,别胥
,别胥
,拔里/萧
,拔里/萧
,右
,右
,亿
,降下
,巴剌葛
,拔懒
,婆姑
,部/保/步/布/卜
,步
,本
,孩子
,子嗣
,孩子/子嗣
,孩子
,执子礼
,孩子
,孩子
,领格
, 
,孙
,仆
,又
,再
,拜
,除/起/立
,拜
,拜
,成
,除
,成
,拜
,任除
,成为/起立/任除
,伯
,昵称
,乳名
,布尉
,布隗
,仆隗
,修
,谕
,命令
,汴
,汴
,判
,丰富/郁
,孛吉只/别乞
,孛吉只
,阿保谨
,保格宁/孛堇
,骠
,部
,部
,部
,领格
,博
,万
,万
,图满/图没里/图木/同阿
,实阿
,领格
,耶阿
,铭
,词
,辞
,铭
,郭
,帐
,帐
,领格
,治所
,家
,观/宫/棺
,冠睦
,管宁
,观宁
,官隐
,第八
,族系
,帐
,房
,族的/族系的
,房
,帐
,领格
,壬/癸
,壬/癸/黑
,壬/癸/水
,黑/铁
,霞漱益
,壬/癸
,壬/癸/黑
,壬/癸/铁
,壬/癸/中央/土
,霞里葛
,壬/癸/黑
,词尾表领格附加成分
,该
,此/是
,其
,奚
,库莫奚
,奚隐
,忒邻
,该
,其
,这些
,阿娜野
,潢
,云
,尹
,疾
,仁
,日
,配偶
,儒
,闰
,尔
,氏
,日
,配偶
, 
,皇后/耨斡么/地母
,地
,地
,领格
,耨斤
,后土
,地
, 
,皇后/耨斡么/地母
,地
,领格
,首/第一
,正
,官/酋
,第一
,官
,领格
,首长
,官吏/诸官
,太守
,尹
,首长
,领格
,首长
,众官
,太守
,长官
,诸官
,禄/鲁/忒俚蹇/皇后
, / 
,脦俚蹇
,可敦
,可敦
,脦俚吉
,词尾表形动词附加成分
,斤
,九
,宫
,宫
,向位格
,宫
,宫宁
,宫
,诸宫
,宫
,宫
,领格
,耿
,覯
,寇苏乙
,构苏已
,九
,领格
,光/广
,权
,领格
,国
  ,让国皇帝
,国
,国
,向位格
,国
,国
,国
,领格
,公
,哥
,悠
,爽
,玉
,姑/觚/古
,固
,孤稳
,金
,剋
,领格
,悲哀
,哀
,哀
,哀
,高/诰
,高八
,高宁
,高隐
,高讷
,诰
,郭
,郭落
,管/观
,江/刚
,葛麽氏
,领格
,国/圭/贵
,瑰引
,国隐
,瑰引/邻引
,囯宁
,国胤宁
,国隐宁
,国
,领格
,国恩月
,贵银
,瑰里
,国
,检
,检
,车
,郡
,宫
,京/经/景
,京
,领格
,京
,向位格
,京
,领格
,兼/检
,检
,领格
,骑
,军/郡
,军
,领格
,军
,向位格
,家
,建
,领格
,监
,监
,向位格
,监
,骑
,宫/公/功/工
,宫
,领格
,公/宫
,领格
,公/功
,哥
,格么
,骑
,恭
,校
,校
,兄
, 
,惕隐司
,横帐
,领格
,诚然
, 
,遵令/遵旨
,伯父
,兄
,领格
,兄
,兄
,向位格
,福
,胡覩古
,福
,胡睹衮
,胡睹堇
,有福/也速该
,无
,何/可
,嫡
,懿
,词尾表领格附加成分
,词尾表向位格附加成分
,宜睦里
,夷末里
,《易》
,向位格
,号/名/讳
,号
,向位格
,号
,号
,领格
,号
,宾格
,夷里不
,夷里布
,懿
,克
,韩
,均
,秀/休
,休斡
,求哥
,苏斡
,休坚
,吼
,厚
,照耀/明
,功
,恩惠
,恩义
,受惠
,承恩
,库林
,尚位
,叙次
,使任职
,叙次
,渠劣/屈劣/屈烈/屈列/顼烈
,彩云
,迁
,惩治/伤害
,空
,哥/珂
,更
,开
,积
,兼领
,均
,知掌
,总
,知
,负责
,古
,酷
,姑
,限度
,诰
,境/方
,疆境
,领格
,境/方
,忽古只
,部/群
,室/房/支/族
,（68、108、横帐
,阔
,客
,韩奴
,航奴
,康奴
,痕得隐
,痕得
,边界
,宿卫
,边境
,领格
,左
,向位格
,边
,宿卫
,核正/申斥/惩戒
,宿卫
,核正/申斥/惩戒
,宿卫
,位
,宿卫
,护卫
,宿卫
,诸部
,宾格
,国/惠/徽
,瑰引
,至
,至
,至
,至
,徙
,使至
,使至
,至
,送
,施/送/致/奉
,送/致
,徙
,至
,至
,来
,谒
,受
,至
,至
,徙
,送
,发赴
,奉献
,所送
,陟/使到达
,至
,至
,领受
,挥/贵
,徽
,徽
,后
,许
, 
,姨母
,妹（复数）
, 
,姨母
,休库
,轻/庆/兴/邢
,兴宁
,京
,领格
,庆
,仙/显/贤
,君
,军
,领格
,家
,期/祁/嬉/易
,兴
,饮
,飞扬/飘然
,庆
,兴
,兴
,庆
,愉悦
,喜
,欣怿
,飘飘然/畅然
,空
,空
,领格
,哥
,词尾表凭借格附加成分
,词尾表宾格附加成分
,词尾表向位格附加成分
,酣
,酒
,词尾表复数附加成分
, 
,表姐
,妻姐
,先
,耶
,词尾表静词类附加成分
,只剌里
,格本
,词尾表复数附加成分
,夏
,扎
,散
,昭
,斡鲁朵
,斡笃宛
,斡笃盌/孳息
, 
,大安
,斡鲁朵/行宫
,斡鲁朵/行宫
,斡鲁朵
,斡鲁朵
,行宫
,行宫
,斡鲁朵
,行宫
,斡鲁朵
,斡鲁朵
,领格
,斡笃盌/孳息
, 
,重熙
, 
,重熙
,乌特赖
,斡特懒
,词尾表静词类附加成分
,词尾表复数附加成分
,睦/穆
,毛
,沐/睦
,词尾表领格附加成分
,词尾表形动词附加成分
,词尾表过去时形动词附加成分
,出使
,只剌
,正旦
,契丹
,契丹
,契丹的
,契丹
,契丹
,礼贤
,乌里坚
,荣
,四
,四
,向位格
,四
,突吕不
,突吕不
,兖
,方面
,疆场
,疆场
,领格
,位置
,职位
,伪
,位/就位
,使任职
,排座次
,授
,叙次
,居位
,伪
,位
,职
,向位格
,于越
,府/司/房院
,给予
,居位
,任/职
,词尾表副动词附加成分
,给予/赏赐
, 
,天授
,天赞
  ,让国皇帝
,于越
,嫁
,嫁
,嫁
,嫁
,嫁
,嫁
,嫁
,大
,大/太/台/泰
,太师
,领格
,太子
,大
,太保
,崇/嵩/高
,太保
,领格
,太保
,向位格
,太保
,高
,察
,详稳
,昌/长/尚/敞
,先
,先
,领格
,千
,阿古
,顾
,固
,阿古只
,阿古真
,古只宁（元朝皇帝“孛儿只斤·懿璘质班”）
,阿古
,阿郭
,阿古讷
,古里宁
,阿古邻
,乳
,如
,阿主
,竹
,帐/翁帐
,竹
,领格
,旨/指
,七
,迪烈
,敌烈
,迪烈
,查剌
,查懒
,查剌柅
,查剌
,十
,匀德实/匀德恝/寅底石/寅底哂/寅的哂
,八十
,霞漱益
               ,大壽（寿昌）七年歲（岁）次辛巳正月壬戌朔十三甲戌
,大
